agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPARTMENT OF CORRECTION,Deputy General Counsel,120000,150000,2022-03-23T00:00:00.000000,2022-04-22T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
NYC HOUSING AUTHORITY,Construction Project Manager,81108,120000,2025-01-29T00:00:00.000000,2025-02-28T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPARTMENT OF TRANSPORTATION,Deputy Director of Mail Services & Storehouse,100000,130000,2025-06-02T00:00:00.000000,2025-07-02T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Project Manager,62370,93587,2023-08-11T00:00:00.000000,2023-09-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineering Intern,57866,70075,2024-09-10T00:00:00.000000,2024-10-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY RICHMOND COU,Director of Finance,95000,115000,2025-06-20T00:00:00.000000,2025-07-20T00:00:00.000000,30,232600.00,per Annum,215006.34,0.00,1000.00,216006.34,100.0
BRONX DISTRICT ATTORNEY,"Trial Division-Trial Preparation Assistant, Level II",53045,53045,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,INTERMITTENT FMLA CONSULTANT,66062,75971,2025-05-08T00:00:00.000000,2025-06-07T00:00:00.000000,30,86057.00,per Annum,54224.53,1674.53,2820.89,58719.95,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Director of Health Contracts, Office of the Agency Chief Contracting Officer",73419,108000,2025-06-24T00:00:00.000000,2026-06-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2025-02-14T00:00:00.000000,2025-03-16T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Associate Water Use Inspector Level I,53345,75425,2022-10-20T00:00:00.000000,2022-11-19T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"RESJI Program Coordinator, Bureau of Hepatitis, HIV, and STI",60889,70022,2024-11-09T00:00:00.000000,2025-11-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Director of Construction,60443,164461,2024-11-23T00:00:00.000000,2024-12-23T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF CITY PLANNING,Assistant Borough Planner,62137,71458,2024-09-18T00:00:00.000000,2024-10-18T00:00:00.000000,30,95318.00,per Annum,229.95,0.00,0.00,229.95,87.09677419354838
HOUSING PRESERVATION & DVLPMNT,Field Tech - Emergency Operations Division (EOD) Environmental Hazards Unit (EHU),87701,87701,2024-09-19T00:00:00.000000,2024-10-19T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
TAXI & LIMOUSINE COMMISSION,TLC Officer - Enforcement,52931,52931,2025-05-06T00:00:00.000000,2025-06-05T00:00:00.000000,30,25.78,per Hour,39514.28,37.54,1850.72,41402.54,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,76262,110444,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,GIS Editor,63105,72571,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HOUSING PRESERVATION & DVLPMNT,Housing Inspector,53563,61598,2022-04-28T00:00:00.000000,2022-05-28T00:00:00.000000,30,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPARTMENT OF TRANSPORTATION,BOB- Fiscal Officer,70611,105138,2024-01-25T00:00:00.000000,2024-02-24T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Management Auditor,65091,104135,2025-06-21T00:00:00.000000,2025-07-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DISTRICT ATTORNEY-MANHATTAN,Senior Investigative Analyst,63658,67535,2025-02-24T00:00:00.000000,2025-03-26T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,76262,110444,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
CONSUMER AND WORKER PROTECTION,Assistant Supervisor - 718795,53479,54237,2025-07-09T00:00:00.000000,2025-10-07T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant,  Bureau of Alcohol, Drug Prevention  & Treatment",72190,72190,2024-11-26T00:00:00.000000,2025-11-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,ACCOUNT SPECIALIST SUPERVISOR,54269,76638,2025-06-06T00:00:00.000000,2025-07-06T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
HRA/DEPT OF SOCIAL SERVICES,SENIOR PROGRAM INTEGRITY SPECIALIST,57490,66114,2024-10-01T00:00:00.000000,2024-10-31T00:00:00.000000,30,48246.00,per Annum,49638.15,0.00,3279.90,52918.05,91.56626506024097
HRA/DEPT OF SOCIAL SERVICES,CASE MANAGEMENT WORKER,45329,52128,2023-08-03T00:00:00.000000,2023-09-02T00:00:00.000000,30,64188.00,per Annum,2212.70,0.00,1195.13,3407.83,100.0
DEPT. OF HOMELESS SERVICES,DIRECTOR FOR AFFORDABLE HOUSING SERVICES,73068,125000,2024-10-25T00:00:00.000000,2024-11-24T00:00:00.000000,30,98410.00,per Annum,0.00,0.00,0.00,0.0,94.5945945945946
DEPARTMENT OF CORRECTION,Agency Attorney Interne,72510,83388,2025-06-06T00:00:00.000000,2025-09-04T00:00:00.000000,90,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
DEPT OF HEALTH/MENTAL HYGIENE,"Wellness Advocate Supervisor, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",84981,97728,2025-02-11T00:00:00.000000,2026-02-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Tuberculosis Control",53074,61035,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
BRONX DISTRICT ATTORNEY,Discovery Compliance Bureau Supervisor,70435,70435,2024-11-08T00:00:00.000000,2025-11-08T00:00:00.000000,365,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,ASSOC. CHEMIST,45193,77500,2023-05-04T00:00:00.000000,2023-06-03T00:00:00.000000,30,92235.00,per Annum,89022.57,6322.28,8548.07,103892.92000000001,94.6236559139785
DEPARTMENT OF TRANSPORTATION,BOB- Administrative Construction Project Manager (NM),58682,159671,2025-06-20T00:00:00.000000,2025-07-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Program Coordinator, Bureau of Equitable Health Systems",74536,74536,2025-07-17T00:00:00.000000,2026-03-19T00:00:00.000000,245,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HOUSING PRESERVATION & DVLPMNT,Relocation Processor,72298,72298,2025-07-23T00:00:00.000000,2025-08-12T00:00:00.000000,20,69328.00,per Annum,37161.49,0.00,1232.47,38393.96,85.71428571428571
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,98470,137501,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,PRP - Senior Engineer,88026,122295,2024-09-21T00:00:00.000000,2024-10-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Director of Digital Transformation,80931,208826,2022-08-22T00:00:00.000000,2022-09-21T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,IT Procurement Manager,105000,105000,2024-12-30T00:00:00.000000,2025-01-29T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Intern, Bureau of Finance, Administration and Services",17,17,2025-03-11T00:00:00.000000,2026-03-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
NYC HOUSING AUTHORITY,"RECRUITMENT COORDINATOR, JOB GENERATION",62868,70151,2025-06-09T00:00:00.000000,2025-07-09T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPARTMENT OF TRANSPORTATION,CITY PLANNER,80091,116999,2025-07-28T00:00:00.000000,2026-06-02T00:00:00.000000,309,120200.00,per Annum,10796.66,3.59,84.72,10884.97,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Intern, Bureau of Finance, Administration and Services",17,17,2025-03-11T00:00:00.000000,2026-03-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
LANDMARKS PRESERVATION COMM,COMMUNITY AND INTERGOVERNMENTAL AFFAIRS ASSOCIATE,62868,72298,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,64443.00,per Annum,62230.08,0.00,1479.22,63709.3,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Inspector, Bureau of Environmental Disease and Injury Prevention",51460,51460,2024-08-22T00:00:00.000000,2025-08-22T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF MANAGEMENT & BUDGET,Analyst  INTERFUND AGREEMENTS,84257,95208,2025-03-11T00:00:00.000000,2025-04-10T00:00:00.000000,30,128549.00,per Annum,133151.69,0.00,3000.00,136151.69,87.87878787878788
DEPARTMENT OF TRANSPORTATION,Project Manager,58700,173486,2024-01-18T00:00:00.000000,2024-02-17T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Nurse, Bureau of School Health",94826,94826,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Operations Associate, Bureau of Childcare",45040,51796,2025-03-21T00:00:00.000000,2026-03-21T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Water Systems Analyst Lead, Bureau of Environmental Sciences and Engineering",98159,112883,2025-07-15T00:00:00.000000,2026-07-15T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Civil Engineering Intern,56181,68034,2024-06-12T00:00:00.000000,2024-07-12T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Records Associate (Per Diem),23.9343,37.5725,2024-02-18T00:00:00.000000,2024-03-19T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DISTRICT ATTORNEY-MANHATTAN,Body-Worn Camera Manager,90000,90000,2025-02-07T00:00:00.000000,2025-03-09T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
BRONX DISTRICT ATTORNEY,Cleaning Staff,42092,42092,2025-03-14T00:00:00.000000,2025-04-13T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,PROJECT MANAGER,79800,94523,2025-02-05T00:00:00.000000,2025-03-07T00:00:00.000000,30,98303.00,per Annum,94883.02,0.00,4130.77,99013.79000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,STANDARDS LEAD,101423,137501,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator Supervisor,122271,122271,2025-02-12T00:00:00.000000,2025-03-14T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Energy Portfolio Manager,53702,115000,2022-08-01T00:00:00.000000,2022-08-31T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,Financial Intelligence Analyst,72685,77111,2025-06-18T00:00:00.000000,2025-07-18T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DISTRICT ATTORNEY-MANHATTAN,IT Procurement Contract Administrator,74486,87630,2025-07-24T00:00:00.000000,2025-08-23T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPARTMENT OF TRANSPORTATION,Supervisor Carpenter,422.87,422.87,2024-09-20T00:00:00.000000,2024-10-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician,55154,81257,2025-04-25T00:00:00.000000,2025-05-25T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
CONSUMER AND WORKER PROTECTION,Staff Counsel - 693142,73476,84498,2025-06-12T00:00:00.000000,2025-09-10T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPARTMENT OF TRANSPORTATION,BOB-Director of Bridge Repair,101423,137501,2025-01-26T00:00:00.000000,2025-02-25T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
NYC HOUSING AUTHORITY,Cost Estimator,95000,110000,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF ENVIRONMENT PROTECTION,PURCHASING ANALYST,57370,92708,2025-06-25T00:00:00.000000,2025-07-25T00:00:00.000000,30,74204.00,per Annum,555.70,0.00,0.00,555.7,92.6829268292683
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",53074,61035,2025-05-29T00:00:00.000000,2026-05-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE AUDITOR,68262,78501,2024-09-12T00:00:00.000000,2024-10-12T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF TRANSPORTATION,Stock Worker,40321,60289,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Data Governance Strategy and Standards, Bureau of Data Technology & Strategy",106117,122034,2025-01-27T00:00:00.000000,2026-01-27T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,DESIGN ENGINEER INTERN,56181,68034,2023-08-13T00:00:00.000000,2023-09-12T00:00:00.000000,30,104314.00,per Annum,100686.78,0.00,3771.27,104458.05,92.85714285714286
DEPT OF HEALTH/MENTAL HYGIENE,Communications Specialist,42108,45409,2025-02-20T00:00:00.000000,2025-03-22T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,RENTAL ASSISTANCE CONSULTANT,66430,76394,2024-01-12T00:00:00.000000,2024-02-11T00:00:00.000000,30,86057.00,per Annum,54224.53,1674.53,2820.89,58719.95,100.0
DEPARTMENT OF TRANSPORTATION,Civil Engineer Intern,57866,70075,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Home Visitor, NFP, Bureau of Maternal Infant and Reproductive Health",97012,97012,2024-02-14T00:00:00.000000,2024-03-15T00:00:00.000000,30,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,BOB- Engineer In Charge,98470,133496,2024-06-29T00:00:00.000000,2024-07-29T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Investigator, Bureau of Childcare",57490,70381,2025-05-07T00:00:00.000000,2026-05-07T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2025-02-14T00:00:00.000000,2025-03-16T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Emergency Construction Engineer in Charge - Environmental Engineer II,90667,104267,2024-10-28T00:00:00.000000,2024-11-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,SENIOR CONTRACT AGENT,67541,77672,2025-06-26T00:00:00.000000,2025-07-26T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health",94826,94826,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
CONSUMER AND WORKER PROTECTION,Supervising Enforcement Counsel-715120,92525,113953,2025-08-11T00:00:00.000000,2025-11-09T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
BRONX DISTRICT ATTORNEY,Animal Cruelty Prosecution Initiative - Trial Preparation Assistant Lv 2,53045,53045,2025-05-21T00:00:00.000000,2025-06-20T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
HRA/DEPT OF SOCIAL SERVICES,"DIRECTOR, RAP APARTMENTS & COMMUNITY UNITS",99113,126688,2024-07-16T00:00:00.000000,2024-08-15T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPT OF ENVIRONMENT PROTECTION,"Environmental, Health & Safety Specialist",66042,75948,2024-06-13T00:00:00.000000,2024-07-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
NYC HOUSING AUTHORITY,Community Associate,43143,71800,2025-07-02T00:00:00.000000,2025-08-01T00:00:00.000000,30,522.32,per Day,150800.86,17734.87,5089.28,173625.00999999998,87.5
DEPT OF ENVIRONMENT PROTECTION,TECHNICAL ASSISTANT,66062,100958,2025-07-29T00:00:00.000000,2025-08-28T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,DISABILITY SERVICES PROGRAM (DSP) CLERK,42288,48631,2025-06-26T00:00:00.000000,2025-07-26T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
NYC HOUSING AUTHORITY,COMMUNITY MENTAL HEALTH PARTNERSHIP MANAGER,62868,90000,2025-07-08T00:00:00.000000,2025-08-07T00:00:00.000000,30,104829.00,per Annum,108179.59,0.00,4024.44,112204.03,100.0
DEPT OF ENVIRONMENT PROTECTION,"Coordinator, Capital Planning",64242,73878,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,DESIGN ENGINEER INTERN,57866,70075,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,104314.00,per Annum,100686.78,0.00,3771.27,104458.05,92.85714285714286
DEPARTMENT OF TRANSPORTATION,Fiscal Officer,71281,165887,2024-05-16T00:00:00.000000,2024-06-15T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager II,74650,109409,2022-08-09T00:00:00.000000,2022-09-08T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT FOR THE AGING,"Trainer, Older Adult Training & Employment",60889,70022,2025-05-23T00:00:00.000000,2025-11-19T00:00:00.000000,180,202221.00,per Annum,206686.37,0.00,3000.00,209686.37,85.71428571428571
HRA/DEPT OF SOCIAL SERVICES,SENIOR ELIGIBILITY SUPERVISOR,53057,61015,2022-06-09T00:00:00.000000,2022-07-09T00:00:00.000000,30,68464.00,per Annum,2412.27,416.45,113.06,2941.7799999999997,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Wellness Advocate, Bureau of Alcohol and Drug Use Prevention, Care and Treatment",60889,72298,2025-04-30T00:00:00.000000,2026-04-30T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",51460,51460,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF SANITATION,College Aide,17,21.4,2025-07-29T00:00:00.000000,2025-08-28T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
DEPARTMENT OF TRANSPORTATION,K-12 Educator,59116,91768,2023-12-18T00:00:00.000000,2024-01-17T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,56181,68034,2024-08-21T00:00:00.000000,2024-09-20T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Chief of Clinical Bacteriology, Bureau of the Public Health Laboratory",112458,130000,2025-07-10T00:00:00.000000,2026-07-10T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DISTRICT ATTORNEY-MANHATTAN,Youth and Education Coordinator,53615,57786,2025-07-01T00:00:00.000000,2025-07-31T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
